system:time_start,JB95_NDVI
8/12/1995,0.046
8/28/1995,0.348
8/5/1996,0.364
8/14/1996,0.205
8/30/1996,0.443
8/17/1997,0.494
8/24/1997,0.449
8/20/1998,0.406
8/27/1998,0.023
8/23/1999,0.35
8/30/1999,0.046
8/16/2000,-0.055
8/25/2000,0.306
8/3/2001,0.012
8/19/2001,0.169
8/28/2001,0.161
8/6/2002,0.293
8/15/2002,0.302
8/22/2002,0.959
8/31/2002,0.149
8/18/2003,0.076
8/25/2003,0.416
8/4/2004,-0.051
8/11/2004,0.134
8/20/2004,0.005
8/27/2004,0.322
8/7/2005,0.062
8/14/2005,0.357
8/23/2005,0.011
8/1/2006,-0.034
8/10/2006,-0.049
8/17/2006,-0.057
8/4/2007,0.032
8/13/2007,0.038
8/6/2008,-0.022
8/15/2008,0.039
8/22/2008,-0.064
8/31/2008,0.035
8/18/2009,0.245
8/25/2009,0.065
8/5/2010,0.24
8/21/2010,0.06
8/28/2010,-0.079
8/8/2011,0.232
8/24/2011,0.065
8/31/2011,-0.133
8/4/2013,0.292
8/20/2013,0.211
8/29/2013,0.046
8/7/2014,0.309
8/16/2014,-0.007
8/3/2015,-0.292
8/10/2015,0.554
8/19/2015,-0.357
8/26/2015,0.436
8/5/2016,-0.435
8/12/2016,0.256
8/21/2016,-0.654
8/28/2016,0.245
8/8/2017,0.008
8/24/2017,-0.272
8/31/2017,0.302
8/2/2018,-0.198
8/11/2018,0.024
8/18/2018,-0.254
8/27/2018,-0.001
8/5/2019,0.049
8/14/2019,-0.004
8/21/2019,-0.073
8/30/2019,-0.5
8/7/2020,0.017
8/23/2020,0.002
