system:time_start,SOB95_NDVI
8/12/1995,0.179
8/28/1995,0.53
8/14/1996,0.074
8/30/1996,0.301
8/17/1997,0.505
8/20/1998,0.436
8/23/1999,0.346
8/25/2000,0.44
8/28/2001,0.377
8/15/2002,0.447
8/31/2002,0.177
8/18/2003,0.484
8/4/2004,0.421
8/20/2004,0.391
8/7/2005,0.078
8/23/2005,0.484
8/10/2006,0.38
8/13/2007,0.36
8/15/2008,0.368
8/31/2008,0.433
8/18/2009,0.523
8/5/2010,0.409
8/21/2010,0.143
8/8/2011,0.407
8/24/2011,0.228
8/29/2013,0.051
8/16/2014,0.305
8/3/2015,0.414
8/19/2015,0.383
8/5/2016,0.415
8/21/2016,0.099
8/8/2017,0.006
8/24/2017,0.28
8/11/2018,0.041
8/27/2018,0.337
8/14/2019,0.107
8/30/2019,0.213
