system:time_start,SOB_95_00_NDVI
8/12/1995,-0.076
8/28/1995,-0.086
8/5/1996,0.126
8/14/1996,0.085
8/30/1996,-0.05
8/17/1997,0.131
8/20/1998,0.095
8/23/1999,0.108
8/25/2000,0.453
8/28/2001,0.134
8/15/2002,-0.067
8/31/2002,0.107
8/18/2003,0.14
8/4/2004,-0.046
8/20/2004,0.046
8/7/2005,0.042
8/23/2005,-0.102
8/10/2006,0.124
8/13/2007,0.056
8/15/2008,0.086
8/31/2008,-0.159
8/18/2009,0.359
8/5/2010,-0.028
8/21/2010,0.065
8/8/2011,0.025
8/24/2011,0.123
8/29/2013,0.147
8/16/2014,0.016
8/3/2015,-0.281
8/19/2015,0.116
8/5/2016,-0.265
8/21/2016,-0.216
8/8/2017,0.038
8/24/2017,-0.232
8/11/2018,0.083
8/27/2018,0.026
8/14/2019,0.108
8/30/2019,-0.331
